region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2020-09-16,,estimate,1,0.98,1,0,0,1,1,2,3
East of England,2020-09-17,,estimate,1,1,1,0,0,1,1,2,3
East of England,2020-09-18,,estimate,1,1.1,1.1,0,0,1,1,2,3
East of England,2020-09-19,,estimate,1,1.2,1.1,0,0,1,1,2,3
East of England,2020-09-20,,estimate,1,1.1,1.1,0,0,1,1,2,3
East of England,2020-09-21,,estimate,1,1.3,1.2,0,0,1,1,2,3
East of England,2020-09-22,,estimate,1,1.5,1.2,0,1,1,2,2,4
East of England,2020-09-23,,estimate,1,1.5,1.3,0,1,1,2,2,4
East of England,2020-09-24,,estimate,1,1.6,1.3,0,1,1,2,2,4
East of England,2020-09-25,,estimate,1,1.7,1.3,0,1,1,2,2,4
East of England,2020-09-26,,estimate,2,1.7,1.4,0,1,1,2,2,4
East of England,2020-09-27,,estimate,1,1.6,1.3,0,1,1,2,2,4
East of England,2020-09-28,,estimate,2,1.9,1.5,0,1,1,2,3,5
East of England,2020-09-29,,estimate,2,2.2,1.5,0,1,2,2,3,5
East of England,2020-09-30,,estimate,2,2.2,1.6,0,1,2,2,3,5
East of England,2020-10-01,,estimate,2,2.2,1.6,0,1,2,2,3,5
East of England,2020-10-02,,estimate,2,2.4,1.6,0,1,2,3,3,5
East of England,2020-10-03,,estimate,2,2.5,1.7,0,1,2,3,4,5
East of England,2020-10-04,,estimate,2,2.3,1.6,0,1,2,3,3,5
East of England,2020-10-05,,estimate,3,2.8,1.8,0,1,2,3,4,6
East of England,2020-10-06,,estimate,3,3.2,1.9,1,2,3,4,4,7
East of England,2020-10-07,,estimate,3,3.4,2,1,2,3,4,5,7
East of England,2020-10-08,,estimate,3,3.5,2,1,2,3,4,5,7
East of England,2020-10-09,,estimate,4,3.8,2.1,1,2,3,4,5,7
East of England,2020-10-10,,estimate,4,4,2.2,1,2,3,4,5,8
East of England,2020-10-11,,estimate,4,3.8,2.1,1,2,3,4,5,7
East of England,2020-10-12,,estimate,4,4.5,2.3,1,3,4,5,6,9
East of England,2020-10-13,,estimate,5,5.2,2.5,2,4,4,6,7,10
East of England,2020-10-14,,estimate,5,5.6,2.6,2,4,5,6,7,10
East of England,2020-10-15,,estimate,6,5.9,2.6,2,4,5,6,8,11
East of England,2020-10-16,,estimate,6,6.4,2.8,2,4,5,7,8,12
East of England,2020-10-17,,estimate,7,6.8,2.9,3,5,6,7,9,12
East of England,2020-10-18,,estimate,6,6.4,2.8,2,5,5,7,8,11
East of England,2020-10-19,,estimate,7,7.7,3,3,5,7,8,10,13
East of England,2020-10-20,,estimate,9,8.9,3.3,4,7,8,10,11,15
East of England,2020-10-21,,estimate,9,9.3,3.5,4,7,8,10,11,16
East of England,2020-10-22,,estimate,9,9.7,3.5,4,7,9,10,12,16
East of England,2020-10-23,,estimate,10,10,3.7,5,8,9,11,13,17
East of England,2020-10-24,,estimate,11,11,3.8,5,8,10,12,13,17
East of England,2020-10-25,,estimate,10,10,3.6,5,8,9,11,13,17
East of England,2020-10-26,,estimate,12,12,4,6,9,11,13,14,19
East of England,2020-10-27,,estimate,13,14,4.5,7,11,12,15,16,21
East of England,2020-10-28,,estimate,14,14,4.4,7,11,13,15,17,22
East of England,2020-10-29,,estimate,14,14,4.4,8,11,13,15,17,22
East of England,2020-10-30,,estimate,15,15,4.7,8,12,14,16,18,23
East of England,2020-10-31,,estimate,15,16,4.8,9,12,14,16,19,24
East of England,2020-11-01,,estimate,14,14,4.5,8,11,13,15,17,22
East of England,2020-11-02,,estimate,16,16,4.8,9,13,15,17,19,25
East of England,2020-11-03,,estimate,18,18,5.2,10,15,17,19,21,27
East of England,2020-11-04,,estimate,18,18,5.1,11,15,17,19,22,27
East of England,2020-11-05,,estimate,18,18,5.2,10,15,17,19,22,27
East of England,2020-11-06,,estimate,19,19,5.4,11,15,17,20,22,28
East of England,2020-11-07,,estimate,19,19,5.3,11,16,18,20,23,28
East of England,2020-11-08,,estimate,17,17,4.9,10,14,16,18,20,26
East of England,2020-11-09,,estimate,19,19,5.4,11,16,18,20,23,29
East of England,2020-11-10,,estimate,21,22,5.8,13,17,20,22,25,32
East of England,2020-11-11,,estimate,21,22,5.9,13,17,20,23,25,32
East of England,2020-11-12,,estimate,21,21,5.7,12,17,19,22,25,31
East of England,2020-11-13,,estimate,21,21,5.8,13,17,20,23,25,32
East of England,2020-11-14,,estimate,21,21,5.8,13,17,20,22,25,32
