region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2020-09-25,,estimate,2,2,1,0,1,1,2,3,5
East of England,2020-09-26,,estimate,2,2,2,0,1,2,2,3,5
East of England,2020-09-27,,estimate,2,2,1,0,1,1,2,3,4
East of England,2020-09-28,,estimate,2,2,2,0,1,2,2,3,5
East of England,2020-09-29,,estimate,2,2,2,0,1,2,3,3,5
East of England,2020-09-30,,estimate,2,2,2,0,1,2,3,3,5
East of England,2020-10-01,,estimate,2,3,2,0,1,2,3,4,5
East of England,2020-10-02,,estimate,2,3,2,0,1,2,3,4,6
East of England,2020-10-03,,estimate,2,3,2,0,1,2,3,4,6
East of England,2020-10-04,,estimate,2,3,2,0,1,2,3,4,5
East of England,2020-10-05,,estimate,3,3,2,0,2,2,3,4,6
East of England,2020-10-06,,estimate,3,3,2,1,2,3,3,4,7
East of England,2020-10-07,,estimate,3,3,2,1,2,3,4,5,7
East of England,2020-10-08,,estimate,3,4,2,1,2,3,4,5,7
East of England,2020-10-09,,estimate,4,4,2,1,2,3,4,5,8
East of England,2020-10-10,,estimate,4,4,2,1,2,3,4,5,8
East of England,2020-10-11,,estimate,4,4,2,1,2,3,4,5,7
East of England,2020-10-12,,estimate,4,4,2,1,3,4,5,6,8
East of England,2020-10-13,,estimate,5,5,2,2,3,4,5,7,9
East of England,2020-10-14,,estimate,5,5,2,2,4,5,6,7,10
East of England,2020-10-15,,estimate,6,6,3,2,4,5,6,8,11
East of England,2020-10-16,,estimate,6,6,3,2,4,5,7,8,11
East of England,2020-10-17,,estimate,7,7,3,3,5,6,7,9,12
East of England,2020-10-18,,estimate,6,6,3,2,4,5,7,8,11
East of England,2020-10-19,,estimate,7,8,3,3,5,7,8,9,13
East of England,2020-10-20,,estimate,8,9,3,4,6,8,9,11,14
East of England,2020-10-21,,estimate,9,9,3,4,7,8,10,11,15
East of England,2020-10-22,,estimate,10,10,3,5,8,9,11,12,16
East of England,2020-10-23,,estimate,10,11,4,5,8,9,11,13,17
East of England,2020-10-24,,estimate,11,11,4,6,9,10,12,13,18
East of England,2020-10-25,,estimate,10,10,4,5,8,9,11,13,17
East of England,2020-10-26,,estimate,12,12,4,6,9,11,13,15,19
East of England,2020-10-27,,estimate,13,13,4,7,10,12,14,16,20
East of England,2020-10-28,,estimate,14,14,4,7,11,13,15,17,22
East of England,2020-10-29,,estimate,15,15,4,8,12,13,16,18,23
East of England,2020-10-30,,estimate,15,16,5,9,12,14,17,19,24
East of England,2020-10-31,,estimate,15,16,5,9,12,14,17,19,24
