region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2020-10-09,,estimate,-0.009,-0.01,0.013,-0.034,-0.018,-0.012,-0.005,0,0.01
Africa,2020-10-10,,estimate,-0.008,-0.009,0.012,-0.031,-0.017,-0.012,-0.005,0,0.009
Africa,2020-10-11,,estimate,-0.007,-0.008,0.011,-0.027,-0.015,-0.01,-0.004,0,0.008
Africa,2020-10-12,,estimate,-0.007,-0.007,0.01,-0.024,-0.014,-0.009,-0.004,0,0.008
Africa,2020-10-13,,estimate,-0.006,-0.006,0.009,-0.021,-0.012,-0.008,-0.003,0.001,0.008
Africa,2020-10-14,,estimate,-0.004,-0.005,0.008,-0.018,-0.01,-0.006,-0.002,0.001,0.008
Africa,2020-10-15,,estimate,-0.003,-0.003,0.007,-0.015,-0.008,-0.005,-0.001,0.002,0.008
Africa,2020-10-16,,estimate,-0.002,-0.002,0.006,-0.013,-0.006,-0.003,0,0.003,0.008
Africa,2020-10-17,,estimate,0,-0.001,0.006,-0.01,-0.005,-0.002,0.001,0.004,0.008
Africa,2020-10-18,,estimate,0.001,0.001,0.005,-0.008,-0.002,0,0.003,0.005,0.009
Africa,2020-10-19,,estimate,0.003,0.002,0.005,-0.006,-0.001,0.002,0.004,0.006,0.01
Africa,2020-10-20,,estimate,0.004,0.004,0.005,-0.004,0.001,0.003,0.005,0.007,0.011
Africa,2020-10-21,,estimate,0.006,0.006,0.004,-0.002,0.003,0.005,0.007,0.008,0.013
Africa,2020-10-22,,estimate,0.007,0.007,0.004,0,0.004,0.006,0.008,0.01,0.014
Africa,2020-10-23,,estimate,0.008,0.009,0.004,0.002,0.006,0.007,0.01,0.011,0.016
Africa,2020-10-24,,estimate,0.01,0.01,0.005,0.003,0.007,0.009,0.011,0.013,0.018
Africa,2020-10-25,,estimate,0.011,0.011,0.005,0.004,0.008,0.01,0.012,0.014,0.02
Africa,2020-10-26,,estimate,0.012,0.013,0.005,0.005,0.009,0.011,0.013,0.016,0.021
Africa,2020-10-27,,estimate,0.013,0.014,0.005,0.006,0.01,0.012,0.015,0.017,0.023
Africa,2020-10-28,,estimate,0.014,0.014,0.005,0.006,0.01,0.013,0.016,0.018,0.024
