"dataset","last_attempt","last_attempt_status","latest_results","latest_results_status","latest_results_data_up_to","latest_results_successful_regions","latest_results_timing_out_regions","latest_results_failing_regions","oldest_region_results"
"belgium",2021-01-15 09:36:13,"Complete",2021-01-15 09:36:13,"Complete",2021-01-14,4,0,0,2021-01-14 16:41:46
"brazil",2021-01-15 10:12:25,"Complete",2021-01-15 10:12:25,"Complete",2021-01-14,27,0,0,2021-01-14 17:20:16
"canada",2021-01-15 10:34:31,"Complete",2021-01-15 10:34:31,"Complete",2021-01-14,12,0,0,2021-01-14 18:04:19
"cases",2021-01-14 10:14:19,"Complete",2021-01-14 10:14:19,"Complete",2021-01-13,199,0,0,2020-12-15 04:34:47
"colombia",2021-01-15 10:59:35,"Complete",2021-01-15 10:59:35,"Complete",2021-01-14,33,0,0,2021-01-14 18:22:50
"deaths",2021-01-14 13:44:47,"Complete",2021-01-14 13:44:47,"Complete",2021-01-14,147,0,0,2020-12-10 17:12:38
"germany",2021-01-15 11:20:33,"Complete",2021-01-15 11:20:33,"Complete",2021-01-14,16,0,0,2021-01-14 18:49:34
"india",2021-01-15 11:46:41,"Complete",2021-01-15 11:46:41,"Complete",2021-01-14,35,0,0,2021-01-10 22:03:40
"italy",2021-01-14 19:59:07,"Complete",2021-01-14 19:59:07,"Complete",2021-01-14,20,0,0,2021-01-12 21:38:25
"regional-cases",2021-01-12 10:31:16,"Complete",2021-01-12 10:31:16,"Complete",2021-01-11,6,0,0,2021-01-10 10:18:20
"regional-deaths",2021-01-12 11:11:51,"Complete",2021-01-12 11:11:51,"Complete",2021-01-12,6,0,0,2021-01-10 10:41:00
"russia",2020-12-10 20:36:05,"Complete",2020-12-10 20:36:05,"Complete",2020-10-13,85,0,0,2020-12-08 11:43:50
"united-kingdom",2021-01-16 00:01:29,"Complete",2021-01-16 00:01:29,"Complete",2021-01-11,12,0,0,2021-01-10 01:13:58
"united-kingdom-admissions",2021-01-16 01:23:53,"Complete",2021-01-16 01:23:53,"Complete",2021-01-15,11,0,0,2021-01-15 02:14:40
"united-kingdom-deaths",2021-01-16 00:45:08,"Complete",2021-01-16 00:45:08,"Complete",2021-01-11,12,0,0,2021-01-15 01:32:45
"united-kingdom-local",2021-01-16 02:10:11,"Complete",2021-01-16 02:10:11,"Complete",2021-01-11,214,0,0,2020-12-28 03:21:10
"united-kingdom-local-deaths",2021-01-15 07:17:40,"Complete",2021-01-15 07:17:40,"Complete",2021-01-10,184,0,0,2021-01-14 08:42:50
"united-states",2021-01-15 08:41:07,"Complete",2021-01-15 08:41:07,"Complete",2021-01-14,55,0,0,2021-01-14 09:28:14
