region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Aberdeen City,2020-10-17,,estimate,0.022,0.02,0.031,-0.032,0.005,0.016,0.027,0.037,0.069
Aberdeen City,2020-10-18,,estimate,0.022,0.021,0.029,-0.028,0.006,0.016,0.027,0.037,0.067
Aberdeen City,2020-10-19,,estimate,0.022,0.021,0.028,-0.026,0.007,0.017,0.027,0.037,0.067
Aberdeen City,2020-10-20,,estimate,0.023,0.022,0.027,-0.024,0.008,0.017,0.028,0.037,0.066
Aberdeen City,2020-10-21,,estimate,0.023,0.023,0.026,-0.022,0.009,0.018,0.028,0.037,0.066
Aberdeen City,2020-10-22,,estimate,0.024,0.023,0.026,-0.02,0.01,0.019,0.028,0.037,0.065
Aberdeen City,2020-10-23,,estimate,0.024,0.024,0.025,-0.018,0.01,0.019,0.029,0.038,0.066
Aberdeen City,2020-10-24,,estimate,0.024,0.025,0.025,-0.016,0.011,0.02,0.029,0.038,0.068
Aberdeen City,2020-10-25,,estimate,0.025,0.026,0.025,-0.013,0.012,0.02,0.029,0.038,0.068
Aberdeen City,2020-10-26,,estimate,0.025,0.026,0.025,-0.012,0.013,0.021,0.029,0.038,0.069
Aberdeen City,2020-10-27,,estimate,0.025,0.027,0.025,-0.01,0.013,0.021,0.03,0.039,0.07
Aberdeen City,2020-10-28,,estimate,0.026,0.028,0.024,-0.008,0.014,0.021,0.03,0.039,0.071
Aberdeen City,2020-10-29,,estimate,0.026,0.028,0.024,-0.007,0.015,0.022,0.03,0.039,0.071
Aberdeen City,2020-10-30,,estimate,0.026,0.029,0.024,-0.006,0.015,0.022,0.031,0.039,0.071
Aberdeen City,2020-10-31,,estimate,0.026,0.029,0.024,-0.004,0.016,0.022,0.031,0.039,0.072
Aberdeen City,2020-11-01,,estimate,0.027,0.03,0.024,-0.003,0.016,0.023,0.031,0.039,0.072
Aberdeen City,2020-11-02,,estimate,0.027,0.03,0.024,-0.002,0.017,0.023,0.031,0.039,0.074
Aberdeen City,2020-11-03,,estimate,0.027,0.03,0.023,-0.002,0.017,0.023,0.031,0.039,0.073
Aberdeen City,2020-11-04,,estimate,0.027,0.03,0.023,-0.001,0.017,0.024,0.031,0.039,0.074
Aberdeen City,2020-11-05,,estimate,0.027,0.03,0.023,0,0.018,0.024,0.031,0.039,0.075
Aberdeen City,2020-11-06,,estimate,0.027,0.03,0.022,0,0.018,0.024,0.031,0.04,0.075
