region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2020-10-06,,estimate,-0.001,-0.005,0.02,-0.042,-0.015,-0.006,0.003,0.009,0.023
Africa,2020-10-07,,estimate,-0.001,-0.004,0.018,-0.038,-0.014,-0.005,0.003,0.009,0.022
Africa,2020-10-08,,estimate,0,-0.003,0.017,-0.034,-0.012,-0.004,0.003,0.008,0.021
Africa,2020-10-09,,estimate,0,-0.002,0.015,-0.03,-0.01,-0.003,0.004,0.008,0.02
Africa,2020-10-10,,estimate,0.001,-0.001,0.014,-0.026,-0.008,-0.002,0.004,0.009,0.019
Africa,2020-10-11,,estimate,0.002,0.001,0.012,-0.022,-0.006,-0.001,0.004,0.009,0.019
Africa,2020-10-12,,estimate,0.002,0.002,0.011,-0.017,-0.005,0,0.005,0.009,0.018
Africa,2020-10-13,,estimate,0.003,0.003,0.01,-0.014,-0.003,0.001,0.006,0.01,0.018
Africa,2020-10-14,,estimate,0.004,0.004,0.009,-0.01,-0.001,0.002,0.006,0.01,0.019
Africa,2020-10-15,,estimate,0.005,0.005,0.008,-0.008,0,0.003,0.007,0.01,0.019
Africa,2020-10-16,,estimate,0.006,0.006,0.008,-0.006,0.002,0.004,0.008,0.011,0.02
Africa,2020-10-17,,estimate,0.007,0.007,0.008,-0.004,0.003,0.005,0.009,0.012,0.02
Africa,2020-10-18,,estimate,0.008,0.008,0.008,-0.003,0.003,0.006,0.01,0.013,0.022
Africa,2020-10-19,,estimate,0.008,0.009,0.008,-0.002,0.004,0.007,0.01,0.014,0.023
Africa,2020-10-20,,estimate,0.009,0.01,0.008,-0.001,0.005,0.007,0.011,0.014,0.025
Africa,2020-10-21,,estimate,0.009,0.01,0.009,-0.001,0.005,0.007,0.011,0.015,0.027
Africa,2020-10-22,,estimate,0.009,0.011,0.009,-0.001,0.005,0.007,0.011,0.015,0.028
Africa,2020-10-23,,estimate,0.009,0.011,0.009,-0.001,0.005,0.008,0.011,0.015,0.028
Africa,2020-10-24,,estimate,0.009,0.011,0.009,0,0.005,0.007,0.011,0.015,0.029
Africa,2020-10-25,,estimate,0.009,0.011,0.009,0,0.005,0.007,0.011,0.015,0.028
Africa,2020-10-26,,estimate,0.009,0.01,0.009,-0.001,0.004,0.007,0.011,0.015,0.028
Africa,2020-10-27,,estimate,0.008,0.01,0.009,-0.001,0.004,0.007,0.01,0.014,0.026
Africa,2020-10-28,,estimate,0.008,0.009,0.008,-0.001,0.004,0.006,0.01,0.013,0.025
Africa,2020-10-29,,estimate,0.007,0.009,0.008,-0.002,0.003,0.006,0.009,0.013,0.023
Africa,2020-10-30,,estimate,0.007,0.008,0.008,-0.002,0.003,0.005,0.008,0.012,0.022
Africa,2020-10-31,,estimate,0.006,0.007,0.007,-0.003,0.002,0.005,0.008,0.011,0.02
Africa,2020-11-01,,estimate,0.005,0.006,0.007,-0.004,0.002,0.004,0.007,0.01,0.018
Africa,2020-11-02,,estimate,0.005,0.005,0.007,-0.005,0.001,0.003,0.006,0.009,0.016
Africa,2020-11-03,,estimate,0.004,0.004,0.007,-0.007,0,0.003,0.005,0.008,0.014
Africa,2020-11-04,,estimate,0.003,0.003,0.007,-0.008,-0.001,0.002,0.005,0.007,0.013
Africa,2020-11-05,,estimate,0.003,0.002,0.007,-0.01,-0.002,0.001,0.004,0.006,0.012
Africa,2020-11-06,,estimate,0.002,0.001,0.007,-0.011,-0.002,0,0.003,0.006,0.011
Africa,2020-11-07,,estimate,0.001,0.001,0.007,-0.013,-0.003,0,0.003,0.005,0.011
Africa,2020-11-08,,estimate,0.001,0,0.008,-0.014,-0.004,-0.001,0.003,0.005,0.01
Africa,2020-11-09,,estimate,0.001,-0.001,0.008,-0.015,-0.005,-0.001,0.002,0.005,0.01
Africa,2020-11-10,,estimate,0,-0.001,0.008,-0.016,-0.005,-0.002,0.002,0.005,0.01
Africa,2020-11-11,,estimate,0,-0.001,0.008,-0.017,-0.005,-0.002,0.002,0.005,0.01
Africa,2020-11-12,,estimate,0,-0.001,0.008,-0.017,-0.006,-0.002,0.002,0.005,0.01
Africa,2020-11-13,,estimate,0,-0.001,0.009,-0.017,-0.006,-0.002,0.002,0.005,0.01
Africa,2020-11-14,,estimate,0,-0.001,0.009,-0.016,-0.006,-0.002,0.002,0.005,0.011
