region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Andaman and Nicobar,2020-09-23,,estimate,15,16,6,7,11,13,17,19,26
Andaman and Nicobar,2020-09-24,,estimate,15,16,6,7,11,14,17,20,27
Andaman and Nicobar,2020-09-25,,estimate,15,16,6,7,12,14,17,20,27
Andaman and Nicobar,2020-09-26,,estimate,14,15,6,6,11,13,16,19,25
Andaman and Nicobar,2020-09-27,,estimate,16,16,6,7,12,14,17,20,28
Andaman and Nicobar,2020-09-28,,estimate,17,18,7,8,13,16,19,22,30
Andaman and Nicobar,2020-09-29,,estimate,16,17,7,7,12,15,18,21,29
Andaman and Nicobar,2020-09-30,,estimate,16,17,7,8,12,15,18,21,29
Andaman and Nicobar,2020-10-01,,estimate,16,17,7,7,12,14,18,21,28
Andaman and Nicobar,2020-10-02,,estimate,16,17,7,7,12,14,18,20,28
Andaman and Nicobar,2020-10-03,,estimate,15,15,6,7,11,13,16,19,27
Andaman and Nicobar,2020-10-04,,estimate,16,17,7,7,12,15,18,21,29
Andaman and Nicobar,2020-10-05,,estimate,17,18,7,8,13,16,19,22,31
Andaman and Nicobar,2020-10-06,,estimate,16,17,7,8,12,15,18,21,30
Andaman and Nicobar,2020-10-07,,estimate,17,17,7,8,13,15,18,21,29
Andaman and Nicobar,2020-10-08,,estimate,16,17,6,8,12,14,18,20,29
Andaman and Nicobar,2020-10-09,,estimate,16,17,6,7,12,14,18,20,28
Andaman and Nicobar,2020-10-10,,estimate,15,16,6,7,11,13,16,19,27
Andaman and Nicobar,2020-10-11,,estimate,16,17,7,8,12,15,18,21,29
Andaman and Nicobar,2020-10-12,,estimate,17,18,7,8,13,16,19,22,30
Andaman and Nicobar,2020-10-13,,estimate,16,17,7,8,12,15,18,21,29
Andaman and Nicobar,2020-10-14,,estimate,17,17,7,8,13,15,18,21,29
Andaman and Nicobar,2020-10-15,,estimate,16,17,6,7,12,15,18,21,28
Andaman and Nicobar,2020-10-16,,estimate,16,17,7,7,12,14,17,20,28
Andaman and Nicobar,2020-10-17,,estimate,15,15,6,7,11,13,16,19,26
Andaman and Nicobar,2020-10-18,,estimate,16,17,6,7,12,14,18,20,28
Andaman and Nicobar,2020-10-19,,estimate,17,18,7,8,13,15,19,22,29
Andaman and Nicobar,2020-10-20,,estimate,16,17,7,8,12,15,18,21,28
Andaman and Nicobar,2020-10-21,,estimate,16,17,6,8,12,15,18,21,28
Andaman and Nicobar,2020-10-22,,estimate,16,16,7,7,12,14,17,20,28
Andaman and Nicobar,2020-10-23,,estimate,16,16,6,7,12,14,17,20,27
Andaman and Nicobar,2020-10-24,,estimate,14,15,6,6,11,13,16,18,25
Andaman and Nicobar,2020-10-25,,estimate,15,16,6,7,12,14,17,20,27
Andaman and Nicobar,2020-10-26,,estimate,16,17,7,7,12,15,18,21,29
Andaman and Nicobar,2020-10-27,,estimate,16,16,6,7,12,14,17,20,27
Andaman and Nicobar,2020-10-28,,estimate,16,16,6,7,12,14,17,20,28
Andaman and Nicobar,2020-10-29,,estimate,15,16,6,7,11,14,17,19,26
Andaman and Nicobar,2020-10-30,,estimate,15,16,6,7,11,13,16,19,27
Andaman and Nicobar,2020-10-31,,estimate,14,14,6,6,10,12,15,17,24
Andaman and Nicobar,2020-11-01,,estimate,15,15,6,7,11,13,16,19,26
Andaman and Nicobar,2020-11-02,,estimate,16,16,6,7,12,14,17,20,27
Andaman and Nicobar,2020-11-03,,estimate,15,15,6,7,11,13,16,19,26
Andaman and Nicobar,2020-11-04,,estimate,15,15,6,7,11,13,16,19,26
Andaman and Nicobar,2020-11-05,,estimate,14,15,6,6,11,13,16,18,25
Andaman and Nicobar,2020-11-06,,estimate,14,14,6,6,10,12,15,18,25
Andaman and Nicobar,2020-11-07,,estimate,13,13,5,5,9,11,14,16,23
Andaman and Nicobar,2020-11-08,,estimate,14,14,6,6,10,12,15,17,25
Andaman and Nicobar,2020-11-09,,estimate,14,15,6,6,11,13,16,18,26
Andaman and Nicobar,2020-11-10,,estimate,14,14,6,6,10,12,15,18,24
Andaman and Nicobar,2020-11-11,,estimate,13,14,6,6,10,12,15,17,24
Andaman and Nicobar,2020-11-12,,estimate,13,13,5,5,9,11,14,17,23
